"","...1","...2","order_id","customer_id","restaurant_name","cuisine_type","cost_of_the_order","day_of_the_week","rating","food_preparation_time","delivery_time"
"84",84,84,1477385,67538,"Chipotle Mexican Grill $1.99 Delivery","Mexican",12.56,"Weekend","5",22,18
"85",85,85,1478423,129969,"The Meatball Shop","Italian",21.2,"Weekend","Not given",34,16
"86",86,86,1477051,57174,"Tortaria","Mexican",19.31,"Weekend","Not given",27,28
"87",87,87,1476796,78939,"Nobu Next Door","Japanese",16.3,"Weekday","3",20,24
"88",88,88,1478031,309513,"Otto Enoteca Pizzeria","Italian",13.05,"Weekday","5",33,27
"89",89,89,1477740,129798,"TAO","Japanese",25.27,"Weekday","4",24,24
"90",90,90,1478384,184085,"Hill Country Fried Chicken","Southern",14.79,"Weekend","5",35,15
"91",91,91,1478183,329710,"Shake Shack","American",5.72,"Weekday","3",31,24
"92",92,92,1477569,65009,"Chote Nawab","Indian",16.15,"Weekend","5",24,30
"93",93,93,1478211,154030,"RedFarm Hudson","Chinese",33.03,"Weekend","4",26,22
"94",94,94,1476635,86731,"Mission Cantina","Mexican",16.2,"Weekend","5",31,18
"95",95,95,1477646,306119,"Xi'an Famous Foods","Chinese",9.22,"Weekday","Not given",31,32
"96",96,96,1477027,164016,"Blue Ribbon Fried Chicken","American",16.39,"Weekend","Not given",27,22
"97",97,97,1476921,121476,"Blue Ribbon Fried Chicken","American",12.18,"Weekday","3",29,27
"98",98,98,1476689,305522,"Shake Shack","American",24.2,"Weekday","4",29,29
"99",99,99,1477767,68976,"Sarabeth's East","American",17.03,"Weekend","3",26,30
"100",100,100,1476582,60703,"Cafe Habana","Mexican",6.79,"Weekday","Not given",33,25
"101",101,101,1478169,80460,"Rubirosa","Italian",21.83,"Weekend","3",30,27
"102",102,102,1477702,128600,"Blue Ribbon Fried Chicken","American",31.29,"Weekday","Not given",22,33
"103",103,103,1477240,142356,"Blue Ribbon Sushi","Japanese",11.83,"Weekend","4",26,21
"104",104,104,1476564,83287,"Five Guys Burgers and Fries","American",24.3,"Weekend","5",30,20
"105",105,105,1478408,134152,"The Meatball Shop","Italian",22.26,"Weekend","Not given",28,25
"106",106,106,1477824,345899,"TAO","Japanese",20.47,"Weekend","4",26,30
"107",107,107,1477617,38050,"Blue Ribbon Sushi","Japanese",12.18,"Weekend","5",28,25
"108",108,108,1477978,259341,"Joe's Shanghai <U+008E>_<c0><U+008E><fc><a3><be><f7><b4>","Chinese",15.81,"Weekend","5",20,26
"109",109,109,1477281,309513,"Otto Enoteca Pizzeria","Italian",22.36,"Weekend","5",26,27
"110",110,110,1478223,234089,"Blue Ribbon Sushi","Japanese",8.68,"Weekend","5",34,27
"111",111,111,1477364,125123,"Shake Shack","American",21.83,"Weekend","Not given",23,22
"112",112,112,1476715,365244,"Bareburger","American",16.3,"Weekday","Not given",20,28
"113",113,113,1476654,63020,"The Odeon","American",12.9,"Weekday","3",31,28
"114",114,114,1477296,222879,"Parm","Italian",29.15,"Weekday","5",23,27
"115",115,115,1478321,275535,"Pongsri Thai","Thai",13.05,"Weekday","4",31,24
"116",116,116,1477942,49793,"Yama Japanese Restaurant","Japanese",22.36,"Weekend","5",30,16
"117",117,117,1477552,137565,"Shake Shack","American",31.29,"Weekday","Not given",26,32
"118",118,118,1476770,65009,"Blue Ribbon Fried Chicken","American",7.86,"Weekday","4",22,33
"119",119,119,1476558,214394,"Yama Japanese Restaurant","Japanese",16.1,"Weekend","Not given",33,27
"120",120,120,1477993,91907,"Momoya","Japanese",16.98,"Weekday","5",31,32
"121",121,121,1478072,82041,"Osteria Morini","Italian",12.95,"Weekend","5",26,28
"122",122,122,1476935,59419,"Blue Ribbon Fried Chicken","American",11.69,"Weekend","5",21,24
"123",123,123,1477255,50199,"Five Guys Burgers and Fries","American",12.13,"Weekend","Not given",26,15
"124",124,124,1477012,325210,"The Meatball Shop","American",12.32,"Weekend","Not given",31,19
"125",125,125,1477704,100999,"Balthazar Boulangerie","French",12.13,"Weekend","Not given",22,27
"126",126,126,1477188,146588,"Sushi of Gari","Japanese",12.18,"Weekday","5",25,24
"127",127,127,1478348,310051,"Parm","Italian",14.99,"Weekend","Not given",34,24
"128",128,128,1477405,128243,"The Meatball Shop","Italian",6.74,"Weekend","5",26,30
"129",129,129,1476826,53543,"Caf<U+0329> China","Chinese",24.3,"Weekend","Not given",20,23
"130",130,130,1478340,230535,"Shake Shack","American",10.38,"Weekend","3",24,29
"131",131,131,1477044,127122,"RedFarm Broadway","Chinese",6.79,"Weekend","5",33,28
"132",132,132,1476978,177250,"RedFarm Hudson","Chinese",25.27,"Weekend","Not given",34,28
"133",133,133,1477287,111125,"Otto Enoteca Pizzeria","Italian",14.99,"Weekend","Not given",29,21
"134",134,134,1477110,144997,"RedFarm Hudson","Chinese",29.05,"Weekend","4",22,28
"135",135,135,1476555,97991,"Blue Ribbon Sushi Bar & Grill","Japanese",9.65,"Weekend","Not given",25,26
"136",136,136,1476862,58533,"The Meatball Shop","Italian",29.2,"Weekend","Not given",31,24
"137",137,137,1477117,104336,"Nobu Next Door","Japanese",5.77,"Weekday","4",29,24
"138",138,138,1478402,232582,"Caf<U+0329> China","Chinese",32.93,"Weekday","3",26,28
"139",139,139,1477431,195927,"Boqueria","Spanish",12.13,"Weekend","5",30,20
"140",140,140,1477836,373689,"Bareburger","American",12.08,"Weekend","Not given",29,20
"141",141,141,1477376,370372,"Blue Ribbon Fried Chicken","American",11.59,"Weekday","Not given",25,24
"142",142,142,1476835,264707,"TAO","Japanese",9.56,"Weekend","5",21,17
"143",143,143,1477177,42385,"Song Thai Restaurant & Bar","Thai",24.2,"Weekend","5",21,26
"144",144,144,1478174,104555,"Sushi of Gari","Japanese",29.34,"Weekday","Not given",32,25
"145",145,145,1478269,250494,"The Meatball Shop","Italian",11.16,"Weekday","5",22,28
"146",146,146,1477369,139085,"Shake Shack","American",24.25,"Weekday","Not given",32,24
"147",147,147,1476969,198309,"Blue Ribbon Sushi","Japanese",29.2,"Weekend","Not given",22,25
"148",148,148,1477420,399478,"Shake Shack","American",14.07,"Weekend","Not given",25,28
"149",149,149,1476663,40010,"Parm","Italian",19.35,"Weekend","4",35,19
"150",150,150,1477904,48131,"RedFarm Hudson","Chinese",16.1,"Weekend","4",23,29
"151",151,151,1478219,41692,"Shake Shack","American",22.8,"Weekend","Not given",30,19
"152",152,152,1477206,61305,"Blue Ribbon Sushi Bar & Grill","Japanese",15.23,"Weekend","Not given",30,19
"153",153,153,1477337,123780,"Five Guys Burgers and Fries","American",33.03,"Weekend","Not given",29,25
"154",154,154,1476809,385248,"Shake Shack","American",12.95,"Weekend","Not given",27,18
"155",155,155,1477750,97806,"Shake Shack","American",16.49,"Weekend","5",32,22
"156",156,156,1476817,97079,"Benihana","Japanese",29.05,"Weekend","Not given",25,26
"157",157,157,1476659,52463,"RedFarm Broadway","Chinese",31.33,"Weekend","3",33,23
"158",158,158,1477609,105068,"TAO","Japanese",16.01,"Weekend","Not given",26,16
"159",159,159,1477616,128600,"Tamarind TriBeCa","Indian",14.07,"Weekend","4",26,21
"160",160,160,1476769,71791,"Sushi of Gari 46","Japanese",8.83,"Weekday","Not given",31,33
"161",161,161,1477185,362068,"The Kati Roll Company","Indian",33.03,"Weekend","Not given",35,21
"162",162,162,1477752,298824,"Shake Shack","American",16.25,"Weekday","3",30,24
"163",163,163,1477239,94524,"The Meatball Shop","Italian",22.36,"Weekend","4",28,18
"164",164,164,1476590,342107,"The Kati Roll Company","Indian",16.83,"Weekend","4",26,20
"165",165,165,1478305,62359,"Rubirosa","Italian",8,"Weekday","4",27,29
"166",166,166,1476751,347181,"Blue Ribbon Sushi","Japanese",16.01,"Weekend","Not given",29,22
"167",167,167,1477831,60052,"RedFarm Broadway","Chinese",16.01,"Weekday","4",23,27
"168",168,168,1477955,198936,"Five Leaves","American",10.24,"Weekday","Not given",22,25
"169",169,169,1476568,348787,"Otto Enoteca Pizzeria","Italian",19.4,"Weekday","4",32,28
"170",170,170,1478391,184325,"Pinto Nouveau Thai Bistro","Thai",19.35,"Weekend","4",34,24
"171",171,171,1476725,42935,"Barbounia","Mediterranean",13.97,"Weekend","5",29,25
"172",172,172,1476688,200672,"Cafe Mogador","Middle Eastern",13,"Weekend","Not given",21,15
"173",173,173,1477102,75484,"Five Guys Burgers and Fries","American",13.05,"Weekend","Not given",34,27
"174",174,174,1476878,378027,"RedFarm Broadway","Chinese",8.49,"Weekend","Not given",24,16
"175",175,175,1476805,93133,"Parm","Italian",22.8,"Weekday","5",33,33
"176",176,176,1478093,268958,"Barbounia","Mediterranean",20.18,"Weekend","5",29,19
"177",177,177,1478201,370017,"RedFarm Broadway","Chinese",19.59,"Weekend","5",24,19
"178",178,178,1478032,146586,"Dirty Bird to Go","American",19.4,"Weekend","4",25,19
"179",179,179,1476606,350085,"The Meatball Shop","Italian",17.03,"Weekday","Not given",22,29
"180",180,180,1477570,292343,"Amy Ruth's","Southern",16.11,"Weekend","4",30,26
"181",181,181,1476808,84700,"Pepe Giallo","Italian",14.6,"Weekday","3",32,24
"182",182,182,1476610,53212,"TAO","Japanese",12.27,"Weekday","Not given",26,29
"183",183,183,1476875,373353,"indikitch","Indian",22.26,"Weekend","Not given",35,16
"184",184,184,1476829,79255,"The Meatball Shop","Italian",6.79,"Weekend","Not given",26,15
"185",185,185,1477366,275689,"Han Dynasty","Chinese",14.12,"Weekend","4",35,19
"186",186,186,1477774,354719,"The Meatball Shop","Italian",29.15,"Weekend","5",34,20
"187",187,187,1477209,17495,"Prosperity Dumpling","Chinese",12.18,"Weekday","Not given",26,24
"188",188,188,1478334,352247,"Chipotle Mexican Grill $1.99 Delivery","Mexican",25.22,"Weekend","4",27,22
"189",189,189,1477872,300670,"Shake Shack","American",13.39,"Weekend","Not given",30,22
"190",190,190,1478417,87747,"Blue Ribbon Fried Chicken","American",9.02,"Weekend","5",31,15
"191",191,191,1477401,326426,"Sushi of Gari","Japanese",29.15,"Weekend","Not given",34,24
"192",192,192,1477764,131645,"Yama 49","Japanese",13,"Weekday","5",24,32
"193",193,193,1477835,129518,"Blue Ribbon Fried Chicken","American",15.33,"Weekday","4",24,29
"194",194,194,1476997,103005,"Yama Japanese Restaurant","Japanese",14.55,"Weekend","5",20,28
"195",195,195,1477519,140477,"Momoya","Japanese",31.43,"Weekend","Not given",24,17
"196",196,196,1477004,250494,"Five Guys Burgers and Fries","American",33.03,"Weekend","5",29,15
"197",197,197,1477536,105164,"Piccolo Angolo","Italian",15.91,"Weekend","4",26,26
"198",198,198,1478313,160957,"Momoya","Japanese",12.18,"Weekend","4",27,25
"199",199,199,1477290,361509,"Shake Shack","American",19.35,"Weekday","Not given",35,33
"200",200,200,1476648,169478,"RedFarm Broadway","Chinese",19.35,"Weekend","Not given",24,28
"201",201,201,1476657,91192,"Hill Country Fried Chicken","Southern",29.35,"Weekend","4",26,24
"202",202,202,1478089,134294,"Shake Shack","American",15.28,"Weekday","4",30,29
"203",203,203,1478026,365225,"Pepe Rosso To Go","Italian",12.23,"Weekday","3",24,24
"204",204,204,1477768,279895,"Shake Shack","American",9.6,"Weekday","4",35,28
"205",205,205,1477424,81110,"Han Dynasty","Chinese",12.95,"Weekend","Not given",20,25
"206",206,206,1478378,384391,"Shake Shack","American",8.88,"Weekend","5",27,23
"207",207,207,1477493,328357,"Shake Shack","American",15.96,"Weekend","3",30,21
"208",208,208,1478092,41318,"Jack's Wife Freda","Mediterranean",15.47,"Weekend","5",33,16
"209",209,209,1477150,92832,"Five Guys Burgers and Fries","American",12.23,"Weekend","5",22,22
"210",210,210,1478157,58871,"Shake Shack","American",8.05,"Weekday","4",25,27
"211",211,211,1478343,231042,"Momoya","Japanese",8.54,"Weekday","4",28,29
"212",212,212,1476860,336162,"Nobu Next Door","Japanese",29.15,"Weekday","5",28,25
"213",213,213,1477675,76907,"Han Dynasty","Chinese",7.23,"Weekend","5",21,18
"214",214,214,1476799,389740,"L'Express","French",19.69,"Weekend","3",26,17
"215",215,215,1476598,41168,"Parm","Italian",12.13,"Weekend","3",34,22
"216",216,216,1477277,59749,"Bareburger","American",16.49,"Weekday","Not given",31,27
"217",217,217,1476682,86731,"Mission Cantina","Mexican",12.08,"Weekend","Not given",30,18
"218",218,218,1477047,42832,"5 Napkin Burger","American",9.27,"Weekend","Not given",34,30
"219",219,219,1478173,91005,"Han Dynasty","Chinese",24.25,"Weekend","5",33,26
"220",220,220,1477528,128963,"Han Dynasty","Chinese",5.67,"Weekday","4",21,31
"221",221,221,1478426,124085,"Blue Ribbon Sushi Bar & Grill","Japanese",14.12,"Weekend","3",21,24
"222",222,222,1476696,231061,"Han Dynasty","Chinese",33.03,"Weekday","Not given",33,31
"223",223,223,1478189,105138,"Han Dynasty","Chinese",8.97,"Weekend","4",33,19
"224",224,224,1477532,95164,"Amma","Indian",8.88,"Weekday","4",27,24
"225",225,225,1477324,263426,"Blue Ribbon Sushi Izakaya","Japanese",12.13,"Weekday","5",30,29
"226",226,226,1476698,142461,"Delicatessen","American",11.64,"Weekend","Not given",27,27
"227",227,227,1478290,263199,"Sushi of Gari 46","Japanese",31.43,"Weekend","4",35,23
"228",228,228,1476919,387227,"Blue Ribbon Sushi Bar & Grill","Japanese",13.15,"Weekend","5",30,30
"229",229,229,1477247,385559,"Blue Ribbon Fried Chicken","American",14.02,"Weekend","5",20,28
"230",230,230,1477794,127149,"Sarabeth's East","American",9.41,"Weekend","Not given",25,16
"231",231,231,1477048,200074,"Osteria Morini","Italian",9.07,"Weekend","Not given",33,16
"232",232,232,1477615,136876,"Rubirosa","Italian",14.07,"Weekend","5",35,16
"233",233,233,1476566,103884,"S'MAC","American",14.46,"Weekend","Not given",34,17
"234",234,234,1477310,38612,"Vanessa's Dumplings","Chinese",6.7,"Weekend","5",20,17
"235",235,235,1477758,334619,"Blue Ribbon Sushi Izakaya","Japanese",14.07,"Weekday","4",24,26
"236",236,236,1477765,92996,"Tamarind TriBeCa","Indian",19.45,"Weekend","4",29,19
"237",237,237,1476753,195723,"Cafe Habana","Mexican",13.97,"Weekday","3",34,28
"238",238,238,1476759,268958,"Sushi of Gari 46","Japanese",12.22,"Weekend","4",24,20
"239",239,239,1477333,111356,"Bhatti Indian Grill","Indian",29.25,"Weekend","5",21,15
"240",240,240,1476830,361509,"Cafeteria","American",17.03,"Weekend","Not given",34,20
"241",241,241,1478227,367591,"Taro Sushi","Japanese",16.05,"Weekday","5",35,32
"242",242,242,1476789,103005,"Yama Japanese Restaurant","Japanese",17.08,"Weekend","5",28,15
"243",243,243,1477603,399121,"Blue Ribbon Sushi","Japanese",11.3,"Weekday","Not given",24,24
"244",244,244,1478246,260680,"Delicatessen","American",32.98,"Weekend","5",34,16
"245",245,245,1476931,124838,"Hill Country Fried Chicken","Southern",29.15,"Weekend","5",33,25
"246",246,246,1477029,295111,"The Meatball Shop","Italian",13,"Weekday","5",23,26
"247",247,247,1476849,42052,"Pepe Rosso To Go","Italian",13.73,"Weekend","Not given",21,28
"248",248,248,1478179,52832,"Han Dynasty","Chinese",12.23,"Weekend","3",33,27
"249",249,249,1477679,120833,"Bareburger","American",16.25,"Weekend","Not given",29,15
"250",250,250,1477810,94483,"Bistango","Italian",24.2,"Weekend","Not given",28,21
"251",251,251,1477342,49631,"The Meatball Shop","Italian",14.31,"Weekend","Not given",23,17
"252",252,252,1478133,114085,"Blue Ribbon Sushi Bar & Grill","Japanese",19.4,"Weekend","Not given",28,20
"253",253,253,1477756,251607,"Shake Shack","American",14.12,"Weekday","Not given",31,28
"254",254,254,1477721,72339,"Donburi-ya","Japanese",14.7,"Weekend","Not given",30,27
"255",255,255,1476952,229946,"Balthazar Boulangerie","French",15.52,"Weekend","Not given",21,29
"256",256,256,1477587,92726,"Hatsuhana","Japanese",8.97,"Weekend","4",25,26
"257",257,257,1478210,320493,"Vanessa's Dumplings","Chinese",29.2,"Weekday","Not given",27,30
"258",258,258,1477887,69348,"RedFarm Broadway","Chinese",11.64,"Weekend","3",26,21
"259",259,259,1478366,270149,"Samurai Mama","Japanese",11.64,"Weekend","5",21,18
"260",260,260,1478279,354016,"Waverly Diner","American",19.4,"Weekend","5",25,23
"261",261,261,1476819,104548,"Tarallucci e Vino Restaurant","Italian",29.1,"Weekday","Not given",28,33
"262",262,262,1477394,105754,"Momoya","Japanese",14.02,"Weekday","4",24,30
"263",263,263,1476667,157578,"P.J. Clarke's","American",6.11,"Weekend","4",27,25
"264",264,264,1476975,350373,"Blue Ribbon Fried Chicken","American",12.23,"Weekend","4",21,26
"265",265,265,1477909,47440,"Blue Ribbon Fried Chicken","American",12.18,"Weekend","Not given",31,23
"266",266,266,1476579,85633,"The Meatball Shop","Italian",24.2,"Weekend","5",24,24
"267",267,267,1477286,110091,"The Meatball Shop","Italian",12.18,"Weekend","Not given",27,17
"268",268,268,1478436,95164,"Amma","Indian",17.03,"Weekend","Not given",28,19
"269",269,269,1476685,96877,"The Meatball Shop","Italian",22.26,"Weekday","4",30,26
"270",270,270,1477912,261400,"The Meatball Shop","Italian",19.45,"Weekday","5",31,32
"271",271,271,1476892,177078,"Lantern Thai Kitchen","Thai",21.93,"Weekday","Not given",22,25
"272",272,272,1476882,68429,"Shake Shack","American",15.76,"Weekend","5",24,22
"273",273,273,1477314,52832,"ilili Restaurant","Middle Eastern",9.46,"Weekday","4",25,25
"274",274,274,1477712,373633,"Yama 49","Japanese",12.61,"Weekday","5",23,28
"275",275,275,1477057,390490,"Blue Ribbon Brooklyn","American",22.85,"Weekend","3",23,19
"276",276,276,1477926,72639,"P.J. Clarke's","American",12.18,"Weekend","3",22,28
"277",277,277,1477273,95644,"RedFarm Broadway","Chinese",12.61,"Weekday","Not given",26,27
"278",278,278,1478003,129597,"Otto Enoteca Pizzeria","Italian",12.13,"Weekend","5",33,21
"279",279,279,1477522,101084,"RedFarm Hudson","Chinese",12.13,"Weekend","Not given",20,22
"280",280,280,1476947,46859,"The Meatball Shop","Italian",8.54,"Weekday","5",24,29
"281",281,281,1478295,117810,"Momoya","Japanese",19.35,"Weekday","Not given",29,24
"282",282,282,1476551,49034,"The Smile","American",12.18,"Weekend","Not given",22,27
"283",283,283,1476846,82041,"Parm","Italian",22.8,"Weekend","Not given",35,20
"284",284,284,1476974,142461,"Shake Shack","American",12.13,"Weekend","4",32,15
"285",285,285,1478005,97991,"Blue Ribbon Sushi Bar & Grill","Japanese",19.45,"Weekday","5",34,27
"286",286,286,1476653,113972,"RedFarm Hudson","Chinese",12.13,"Weekend","3",31,25
"287",287,287,1476563,114085,"Blue Ribbon Sushi Bar & Grill","Japanese",12.18,"Weekend","Not given",24,18
"288",288,288,1478440,231042,"Momoya","Japanese",12.13,"Weekend","5",22,21
"289",289,289,1477348,298824,"Bareburger","American",12.56,"Weekend","Not given",24,26
"290",290,290,1477525,52360,"TAO","Japanese",24.3,"Weekend","Not given",24,22
"291",291,291,1477920,83504,"Balthazar Boulangerie","French",29.15,"Weekday","4",31,28
"292",292,292,1477797,194778,"Shake Shack","American",16.06,"Weekend","5",30,17
"293",293,293,1477640,105992,"RedFarm Broadway","Chinese",24.3,"Weekend","5",27,29
"294",294,294,1477091,373486,"Chipotle Mexican Grill $1.99 Delivery","Mexican",9.6,"Weekend","3",23,26
"295",295,295,1477010,49631,"The Meatball Shop","Italian",19.4,"Weekend","Not given",28,17
"296",296,296,1478324,250494,"Blue Ribbon Fried Chicken","American",29.1,"Weekend","4",21,22
"297",297,297,1477908,378923,"Vanessa's Dumpling House","Chinese",12.18,"Weekend","Not given",27,18
"298",298,298,1477573,58898,"RedFarm Broadway","Chinese",21.39,"Weekend","5",23,24
"299",299,299,1476728,250494,"Bubby's","American",24.25,"Weekend","Not given",34,28
"300",300,300,1477815,144997,"RedFarm Hudson","Chinese",32.93,"Weekend","Not given",33,30
"301",301,301,1477283,75115,"RedFarm Hudson","Chinese",14.07,"Weekday","Not given",20,32
"302",302,302,1476856,59674,"Woorijip","Korean",8.25,"Weekend","3",26,26
"303",303,303,1477265,115238,"The Smile","American",19.4,"Weekday","5",26,27
